away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
37.0,10,5.3,2,82.2,72.7,24,0.468,63,0.429,27,0.302,19,0.579,11,0,200,95.9,34.3,12,19,70,,8.2,6,0.27,17,0.294,5,52.9,36,0.486,16.4,14,46,0.478,22,1.0,3,"November 16, 2011",43.5,10,21.7,10,95.9,65.7,23,0.464,55,0.418,23,0.273,15,0.6,9,1,200,82.2,27.3,9,17,60,,4.1,3,0.309,17,0.294,5,47.1,32,0.483,22.6,18,38,0.474,18,0.0,0,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,72.6,Away,CREIGHTON,Creighton
61.1,11,9.1,3,83.3,77.4,24,0.382,55,0.327,18,0.436,24,0.833,20,0,200,93.9,33.3,12,21,62,,15.2,10,0.364,20,0.3,6,53.7,36,0.467,15.5,12,35,0.343,12,1.0,4,"November 20, 2011",36.8,7,20.0,7,93.9,66.7,24,0.426,47,0.404,19,0.489,23,0.652,15,2,200,83.3,22.6,7,16,55,,4.5,3,0.298,14,0.143,2,46.3,31,0.475,19.7,14,33,0.515,17,0.0,0,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,65.7,Away,MURRAY-STATE,Murray State
57.1,12,7.1,2,112.7,53.3,16,0.457,58,0.362,21,0.207,12,0.5,6,3,200,93.7,30.8,12,27,59,,4.8,3,0.397,23,0.478,11,40.6,28,0.463,15.9,12,35,0.286,10,0.25,1,"November 22, 2011",50.0,10,14.3,5,93.7,69.2,27,0.49,49,0.408,20,0.653,32,0.719,23,2,200,112.7,46.7,14,14,71,,7.9,5,0.429,21,0.381,8,59.4,41,0.553,16.0,12,28,0.429,12,0.333,1,"Bartow Arena, Birmingham, Alabama",TROY,Troy,63.0,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
57.1,12,2.7,1,67.6,73.5,25,0.425,53,0.396,21,0.566,30,0.767,23,2,200,100.0,41.4,12,20,68,,8.8,6,0.264,14,0.214,3,58.7,37,0.506,16.4,13,39,0.462,18,0.6,3,"November 25, 2011",29.4,5,7.7,3,100.0,58.6,17,0.33,53,0.321,17,0.321,17,0.647,11,3,200,67.6,26.5,9,24,46,,1.5,1,0.302,16,0.063,1,41.3,26,0.377,20.9,16,37,0.432,16,0.25,1,"Charles Koch Arena, Wichita, Kansas",ALABAMA-BIRMINGHAM,Alabama-Birmingham,68.2,Away,WICHITA-STATE,Wichita State
40.0,8,7.7,3,90.0,51.6,16,0.467,46,0.435,20,0.435,20,0.8,16,5,200,98.3,36.4,8,18,59,,13.3,8,0.196,9,0.333,3,45.3,24,0.532,19.2,13,37,0.459,17,0.286,2,"November 27, 2011",52.2,12,16.2,6,98.3,63.6,14,0.462,53,0.434,23,0.245,13,0.385,5,4,200,90.0,48.4,15,15,54,,6.7,4,0.264,14,0.214,3,54.7,29,0.456,21.4,16,39,0.513,20,0.2,1,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,60.3,Away,TENNESSEE-MARTIN,UT-Martin
61.1,11,12.5,4,98.2,68.0,17,0.351,57,0.316,18,0.158,9,0.778,7,5,200,83.9,35.1,13,19,47,,7.1,4,0.246,14,0.286,4,48.4,30,0.384,11.6,8,43,0.326,14,0.167,1,"November 30, 2011",66.7,12,25.6,11,83.9,64.9,24,0.444,45,0.4,18,0.444,20,0.75,15,2,200,98.2,32.0,8,13,55,,7.1,4,0.289,13,0.308,4,51.6,32,0.505,15.7,10,32,0.438,14,0.6,3,"Mitchell Center, Mobile, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,56.4,Home,SOUTH-ALABAMA,South Alabama
61.1,11,8.3,3,83.8,74.1,20,0.418,49,0.367,18,0.204,10,0.7,7,6,200,70.6,34.5,10,11,48,,8.8,6,0.367,18,0.278,5,53.6,30,0.447,29.2,22,31,0.419,13,0.143,1,"December 3, 2011",60.0,12,6.5,2,70.6,65.5,19,0.459,49,0.408,20,0.265,13,0.923,12,1,200,83.8,25.9,7,10,57,,17.6,12,0.265,13,0.385,5,46.4,26,0.517,28.7,22,36,0.417,15,0.833,5,"Memorial Athletic & Convocation Center, Kent, Ohio",ALABAMA-BIRMINGHAM,Alabama-Birmingham,68.0,Home,KENT-STATE,Kent State
47.6,10,15.6,5,113.8,50.0,13,0.451,51,0.412,21,0.314,16,0.625,10,2,200,96.6,43.3,13,23,56,,12.1,7,0.176,9,0.444,4,46.4,26,0.478,19.4,14,42,0.405,17,0.8,8,"December 7, 2011",52.4,11,9.5,4,96.6,56.7,17,0.522,45,0.467,21,0.556,25,0.76,19,6,200,113.8,50.0,13,17,66,,8.6,5,0.289,13,0.385,5,53.6,30,0.58,18.8,13,32,0.5,16,0.25,2,"Bartow Arena, Birmingham, Alabama",MIDDLE-TENNESSEE,Middle Tennessee,58.2,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
40.0,6,5.0,2,106.3,61.3,19,0.395,43,0.349,15,0.512,22,0.682,15,7,200,76.6,36.7,11,11,49,,12.5,8,0.279,12,0.333,4,49.2,30,0.458,29.5,22,31,0.355,11,0.222,2,"December 20, 2011",66.7,18,12.9,4,76.6,63.3,19,0.526,57,0.474,27,0.175,10,0.8,8,3,200,106.3,38.7,12,18,68,,21.9,14,0.298,17,0.353,6,50.8,31,0.551,17.5,13,40,0.525,21,0.727,8,"Alltel Pavilion at the Stuart C. Siegel Center, Richmond, Virginia",ALABAMA-BIRMINGHAM,Alabama-Birmingham,63.6,Home,VIRGINIA-COMMONWEALTH,VCU
60.9,14,0.0,0,101.4,53.8,14,0.418,61,0.377,23,0.393,24,0.583,14,9,200,94.2,22.0,9,26,65,,18.8,13,0.295,18,0.278,5,34.3,23,0.449,8.9,7,43,0.419,18,0.182,2,"December 22, 2011",73.9,17,11.6,5,94.2,78.0,32,0.543,46,0.5,23,0.696,32,0.625,20,7,200,101.4,46.2,12,20,70,,4.3,3,0.326,15,0.267,4,65.7,44,0.572,23.1,18,31,0.613,19,0.3,3,"Bartow Arena, Birmingham, Alabama",JACKSONVILLE,Jacksonville,68.8,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
63.2,12,4.3,2,76.6,75.7,28,0.55,40,0.475,19,0.45,18,0.667,12,7,200,87.5,40.9,9,19,56,,3.1,2,0.4,16,0.375,6,62.7,37,0.577,32.4,23,24,0.542,13,0.364,4,"December 28, 2011",47.4,9,12.5,3,87.5,59.1,13,0.355,55,0.345,19,0.327,18,0.556,10,8,200,76.6,24.3,9,15,49,,26.6,17,0.164,9,0.111,1,37.3,22,0.386,13.7,10,46,0.391,18,0.333,4,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,63.6,Away,ALABAMA-BIRMINGHAM,Alabama-Birmingham
39.1,9,13.3,4,124.3,63.2,12,0.355,69,0.333,23,0.13,9,1.0,9,7,200,78.4,19.0,8,23,58,,14.9,11,0.217,15,0.2,3,32.8,20,0.396,14.1,12,54,0.37,20,0.222,2,"December 31, 2011",56.7,17,14.8,8,78.4,81.0,34,0.74,48,0.625,30,0.563,27,0.778,21,7,200,124.3,36.8,7,9,92,,8.1,6,0.375,18,0.611,11,67.2,41,0.756,22.1,17,30,0.633,19,0.417,5,"Bartow Arena, Birmingham, Alabama",ALABAMA-AM,Alabama A&M,74.1,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
35.0,7,0.0,0,127.4,72.4,21,0.409,55,0.364,20,0.382,21,0.762,16,8,200,98.4,40.6,13,13,61,,1.6,1,0.309,17,0.294,5,55.7,34,0.469,13.5,10,38,0.395,15,0.385,5,"January 3, 2012",67.7,21,2.6,1,98.4,59.4,19,0.631,61,0.508,31,0.082,5,0.4,2,3,200,127.4,27.6,8,17,79,13,6.5,4,0.443,27,0.556,15,44.3,27,0.623,8.7,6,34,0.471,16,0.8,12,"Stephen C. O'Connell Center, Gainesville, Florida",ALABAMA-BIRMINGHAM,Alabama-Birmingham,61.7,Home,FLORIDA,Florida
50.0,12,32.4,11,92.2,70.0,14,0.591,44,0.545,24,0.386,17,0.588,10,5,200,96.9,33.3,7,22,62,,10.9,7,0.227,10,0.4,4,51.2,21,0.595,24.8,17,34,0.588,20,0.667,10,"January 7, 2012",61.1,11,14.7,5,96.9,66.7,14,0.457,46,0.391,18,0.565,26,0.654,17,9,200,92.2,30.0,6,16,59,,10.9,7,0.261,12,0.5,6,48.8,20,0.506,18.5,13,34,0.353,12,0.357,5,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,63.7,Away,MEMPHIS,Memphis
32.0,8,10.9,5,98.3,61.1,22,0.429,63,0.397,25,0.19,12,0.583,7,4,200,101.7,50.0,19,18,61,,8.3,5,0.254,16,0.25,4,55.4,41,0.444,13.9,11,47,0.447,21,0.75,12,"January 11, 2012",37.5,9,2.1,1,101.7,50.0,19,0.44,58,0.414,24,0.207,12,0.667,8,10,200,98.3,38.9,14,14,59,,6.7,4,0.207,12,0.25,3,44.6,33,0.463,12.5,9,46,0.457,21,0.333,5,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,59.7,Away,MARSHALL,Marshall
59.1,13,5.3,2,96.7,78.1,25,0.602,44,0.5,22,0.136,6,0.333,2,11,200,90.2,20.0,4,17,55,,3.3,2,0.386,17,0.529,9,55.8,29,0.587,28.9,19,27,0.481,13,0.312,5,"January 14, 2012",45.5,10,3.7,1,90.2,80.0,16,0.462,53,0.415,22,0.264,14,0.714,10,3,200,96.7,21.9,7,14,59,,13.1,8,0.283,15,0.333,5,44.2,23,0.495,10.6,7,38,0.447,17,0.842,16,"Reed Green Coliseum, Hattiesburg, Mississippi",ALABAMA-BIRMINGHAM,Alabama-Birmingham,60.8,Home,SOUTHERN-MISSISSIPPI,Southern Miss
45.8,11,11.8,4,93.8,78.8,26,0.529,52,0.462,24,0.173,9,0.667,6,11,225,95.3,28.0,7,11,61,,4.7,3,0.308,16,0.438,7,56.9,33,0.542,22.2,16,36,0.472,17,0.353,6,"January 18, 2012",61.9,13,19.4,7,95.3,72.0,18,0.473,55,0.382,21,0.218,12,0.667,8,8,225,93.8,21.2,7,13,60,,17.2,11,0.382,21,0.476,10,43.1,25,0.494,14.2,10,34,0.324,11,0.579,11,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,57.3,Away,ALABAMA-BIRMINGHAM,Alabama-Birmingham
44.4,8,12.5,4,73.2,71.4,25,0.426,47,0.383,18,0.255,12,0.667,8,4,200,85.7,30.0,9,16,48,,14.3,8,0.234,11,0.364,4,52.3,34,0.455,17.4,11,36,0.389,14,0.789,15,"January 21, 2012",57.1,8,5.6,2,85.7,70.0,21,0.327,49,0.286,14,0.265,13,0.692,9,12,200,73.2,28.6,10,17,41,,8.9,5,0.347,17,0.235,4,47.7,31,0.372,18.0,12,32,0.313,10,0.333,6,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,55.9,Away,CENTRAL-FLORIDA,UCF
57.9,11,15.4,6,86.2,75.8,25,0.389,54,0.352,19,0.315,17,0.412,7,7,200,75.4,34.2,13,20,49,,9.2,6,0.352,19,0.211,4,53.5,38,0.395,18.5,14,35,0.429,15,0.65,13,"January 25, 2012",81.0,17,5.7,2,75.4,65.8,25,0.433,52,0.404,21,0.365,19,0.579,11,12,200,86.2,24.2,8,16,56,,10.8,7,0.25,13,0.231,3,46.5,33,0.459,17.7,13,39,0.462,18,0.368,7,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,64.6,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
